Datum	Baden-Württemberg	Bayern	Berlin	Brandenburg	Bremen	Hamburg	Hessen	Mecklenburg-Vorpommern	Niedersachsen	Nordrhein-Westfalen	Rheinland-Pfalz	Saarland	Sachsen	Sachsen-Anhalt	Schleswig-Holstein	Thüringen	Deutschland
2020-12-15	21.156	25.273	6.748	3.822	887	2.370	11.546	1.466	7.259	30.832	6.822	1.853	13.383	3.338	2.376	5.354	144.485
2020-12-16	21.277	27.542	6.663	3.723	897	2.300	11.420	1.489	7.105	30.959	6.780	1.649	16.576	3.228	2.505	5.438	149.551
2020-12-17	17.728	27.626	6.535	4.097	909	2.411	11.945	1.552	7.294	31.677	6.944	1.664	16.916	3.242	2.674	5.846	149.060
2020-12-18	21.502	27.803	6.566	4.057	870	2.439	11.211	1.607	7.825	32.349	6.718	1.727	16.894	3.384	2.705	6.057	153.714
2020-12-19	22.099	28.077	6.774	4.280	884	2.478	12.311	1.543	8.128	32.522	6.691	1.719	17.600	3.784	2.724	6.082	157.696
2020-12-20	22.651	28.591	7.618	4.443	803	2.710	12.636	1.527	7.998	32.697	6.407	1.588	17.404	4.011	2.705	6.046	159.835
2020-12-21	23.056	28.451	7.634	4.638	889	2.725	13.149	1.551	8.760	33.426	6.791	1.641	18.095	4.134	2.713	6.259	163.912
2020-12-22	23.067	28.340	7.259	5.116	911	2.705	12.545	1.567	9.087	34.281	6.978	1.809	17.378	4.230	2.717	6.388	164.378
2020-12-23	22.435	27.228	7.577	4.808	909	2.755	13.060	1.549	8.532	34.184	6.729	1.610	16.861	4.185	3.016	6.818	162.256
2020-12-24	22.699	27.257	7.598	4.925	940	2.833	11.644	1.537	8.830	34.548	6.741	1.678	17.333	4.429	3.199	6.995	163.186
2020-12-25	21.687	25.694	6.887	4.473	861	2.870	12.199	1.401	8.187	32.562	6.294	1.684	17.971	4.397	3.015	6.840	157.022
2020-12-26	19.458	23.678	5.637	3.657	772	2.646	10.653	1.335	8.184	29.053	5.623	1.574	16.440	4.142	2.689	6.462	142.003
2020-12-27	17.773	22.447	5.773	3.600	701	2.565	10.176	1.247	7.776	27.022	5.550	1.419	15.303	4.108	2.492	6.190	134.142
2020-12-28	16.947	22.022	6.235	3.524	611	2.565	9.582	1.239	7.690	26.430	5.073	1.499	15.121	4.014	2.496	6.149	131.197
2020-12-29	16.319	21.201	5.325	3.414	616	2.091	8.744	1.242	6.972	24.912	5.023	1.296	14.849	3.779	2.473	5.839	124.095
2020-12-30	15.695	20.309	5.145	3.884	646	1.917	7.949	1.324	6.362	23.782	4.713	1.112	13.436	3.440	2.395	5.442	117.551
2020-12-31	14.717	21.434	4.612	4.457	546	1.856	8.311	1.430	6.362	22.750	4.503	1.115	13.302	3.365	2.239	5.258	116.257
2021-01-01	14.365	21.649	4.657	4.965	590	2.093	8.310	1.451	6.726	22.609	4.638	1.000	13.620	3.616	2.218	5.468	117.975
