2021-10-06;BW;579407;2138;8731;10707
2021-10-06;BY;738708;2570;11638;15713
2021-10-06;BE;208397;584;2805;3635
2021-10-06;BB;117041;273;1051;3861
2021-10-06;HB;33378;138;721;514
2021-10-06;HH;92498;102;1130;1744
2021-10-06;HE;336144;927;3862;7774
2021-10-06;MV;49432;180;769;1203
2021-10-06;NI;302873;653;3371;5982
2021-10-06;NW;965816;1910;9173;17886
2021-10-06;RP;182163;413;2067;4005
2021-10-06;SL;47710;85;391;1052
2021-10-06;SN;299742;818;2756;10231
2021-10-06;ST;104809;193;871;3545
2021-10-06;SH;76868;185;816;1689
2021-10-06;TH;136748;378;1677;4418
2021-10-06;DE;4271734;11547;51829;93959
