Baden-Württem­berg	68.482	+1.644	8.352	75,2	1.970
Bayern	89.986	+1.667	10.446	79,6	2.742
Berlin	25.790	+416	4.389	119,6	249
Branden­burg	6.463	+154	887	35,2	184
Bremen	4.342	+190	783	114,9	64
Hamburg	11.346	+303	1.312	71,0	283
Hessen	32.227	+1.099	6.544	104,1	609
Meck­lenburg- Vor­pommern	2.133	+77	431	26,8	21
Nieder­sachsen	29.640	+539	3.552	44,4	729
Nord­rhein-West­falen	107.759	+3.142	17.224	96,0	2.017
Rhein­land-Pfalz	16.118	+337	2.377	58,1	268
Saarland	5.289	+281	895	90,7	178
Sachsen	13.237	+784	2.662	65,4	278
Sachsen-Anhalt	3.905	+145	623	28,4	74
Schles­wig-Holstein	6.662	+142	974	33,5	164
Thüringen	5.802	+256	878	41,2	202
Gesamt	429.181	+11.176	56.866	74,9	10.032
