2021-07-27;BW;504277;98;1359;10383
2021-07-27;BY;652265;168;1739;15320
2021-07-27;BE;181973;259;909;3581
2021-07-27;BB;109080;18;126;3817
2021-07-27;HB;27755;10;120;493
2021-07-27;HH;78542;99;495;1607
2021-07-27;HE;293833;65;1069;7579
2021-07-27;MV;44330;5;83;1176
2021-07-27;NI;263940;101;1239;5812
2021-07-27;NW;823725;407;3128;17281
2021-07-27;RP;156905;111;683;3904
2021-07-27;SL;41935;14;223;1029
2021-07-27;SN;286413;25;196;10128
2021-07-27;ST;99435;20;72;3448
2021-07-27;SH;64864;100;479;1631
2021-07-27;TH;129129;45;123;4376
2021-07-27;DE;3758401;1545;12043;91565
