2021-08-13;BW;509833;596;2628;10433
2021-08-13;BY;658221;625;2974;15370
2021-08-13;BE;185779;473;1844;3586
2021-08-13;BB;109961;106;453;3818
2021-08-13;HB;28217;32;200;494
2021-08-13;HH;81129;273;1270;1634
2021-08-13;HE;297760;382;1826;7601
2021-08-13;MV;44958;69;312;1184
2021-08-13;NI;268108;396;1768;5826
2021-08-13;NW;840295;1902;8165;17318
2021-08-13;RP;159285;262;1054;3914
2021-08-13;SL;42696;56;353;1030
2021-08-13;SN;287368;95;421;10145
2021-08-13;ST;99882;59;214;3470
2021-08-13;SH;67641;217;1388;1641
2021-08-13;TH;129508;35;163;4389
2021-08-13;DE;3810641;5578;25033;91853
