2021-08-20;BW;514472;974;4474;10437
2021-08-20;BY;663208;949;4823;15385
2021-08-20;BE;188666;475;2556;3588
2021-08-20;BB;110579;78;594;3818
2021-08-20;HB;28566;81;344;497
2021-08-20;HH;82809;225;1421;1636
2021-08-20;HE;300970;803;3197;7614
2021-08-20;MV;45480;81;512;1184
2021-08-20;NI;271033;665;2834;5834
2021-08-20;NW;855801;4007;14965;17354
2021-08-20;RP;161121;360;1776;3919
2021-08-20;SL;43242;178;541;1030
2021-08-20;SN;288041;92;572;10155
2021-08-20;ST;100191;67;280;3472
2021-08-20;SH;69104;191;1451;1641
2021-08-20;TH;129772;54;268;4392
2021-08-20;DE;3853055;9280;40608;91956
