2021-08-04;BW;506312;317;1559;10411
2021-08-04;BY;654446;368;1759;15344
2021-08-04;BE;183276;269;1082;3583
2021-08-04;BB;109381;82;248;3818
2021-08-04;HB;27971;39;172;493
2021-08-04;HH;79310;113;574;1621
2021-08-04;HE;295405;306;1243;7590
2021-08-04;MV;44547;80;172;1180
2021-08-04;NI;265692;301;1370;5819
2021-08-04;NW;829571;1114;4893;17297
2021-08-04;RP;157851;162;742;3906
2021-08-04;SL;42236;83;255;1030
2021-08-04;SN;286770;76;241;10137
2021-08-04;ST;99597;28;139;3454
2021-08-04;SH;65795;209;800;1639
2021-08-04;TH;129286;24;124;4382
2021-08-04;DE;3777446;3571;15373;91704
