2021-10-20;BW;601635;3026;11452;10855
2021-10-20;BY;769487;4505;16895;15911
2021-10-20;BE;215360;824;3508;3667
2021-10-20;BB;120092;444;1618;3873
2021-10-20;HB;34502;96;478;523
2021-10-20;HH;94942;240;1141;1763
2021-10-20;HE;343954;1058;3850;7808
2021-10-20;MV;51215;217;864;1219
2021-10-20;NI;310817;941;4060;6041
2021-10-20;NW;985200;2186;9323;18054
2021-10-20;RP;187112;488;2234;4052
2021-10-20;SL;48840;120;568;1060
2021-10-20;SN;309321;1272;4727;10262
2021-10-20;ST;107736;372;1555;3564
2021-10-20;SH;78793;326;1139;1707
2021-10-20;TH;142625;900;3467;4449
2021-10-20;DE;4401631;17015;66879;94808
