2021-08-05;BW;506733;421;1642;10422
2021-08-05;BY;654776;330;1786;15348
2021-08-05;BE;183583;307;1199;3585
2021-08-05;BB;109432;51;266;3818
2021-08-05;HB;27995;24;177;493
2021-08-05;HH;79471;161;638;1621
2021-08-05;HE;295667;262;1237;7592
2021-08-05;MV;44588;41;194;1182
2021-08-05;NI;265981;289;1396;5820
2021-08-05;NW;830647;1076;5100;17299
2021-08-05;RP;158039;188;785;3907
2021-08-05;SL;42290;54;269;1030
2021-08-05;SN;286828;58;243;10138
2021-08-05;ST;99625;28;140;3454
2021-08-05;SH;66002;207;883;1639
2021-08-05;TH;129328;42;150;4382
2021-08-05;DE;3780985;3539;16105;91730
