2021-11-03;BW;639130;1863;18403;11019
2021-11-03;BY;829533;3962;30016;16132
2021-11-03;BE;226284;1240;5769;3717
2021-11-03;BB;126289;936;3394;3931
2021-11-03;HB;35603;133;592;533
2021-11-03;HH;99340;273;2014;1825
2021-11-03;HE;358327;1763;7950;7872
2021-11-03;MV;53948;360;1528;1252
2021-11-03;NI;323135;1515;6464;6096
2021-11-03;NW;1018424;1907;17244;18257
2021-11-03;RP;194447;628;3650;4104
2021-11-03;SL;50049;59;683;1068
2021-11-03;SN;332289;2920;11753;10354
2021-11-03;ST;113589;687;3206;3591
2021-11-03;SH;82757;470;2075;1735
2021-11-03;TH;155275;1682;7171;4541
2021-11-03;DE;4638419;20398;121912;96027
