2021-11-29;BW;819228;3957;57686;11700
2021-11-29;BY;1119516;7179;82471;17432
2021-11-29;BE;271259;287;13612;3823
2021-11-29;BB;174905;1350;18366;4097
2021-11-29;HB;39504;120;1489;550
2021-11-29;HH;113603;557;4222;1888
2021-11-29;HE;410876;1172;17507;8125
2021-11-29;MV;69888;443;6459;1323
2021-11-29;NI;373471;1039;17396;6329
2021-11-29;NW;1164535;3374;49616;18899
2021-11-29;RP;230124;1122;12291;4263
2021-11-29;SL;60690;208;4345;1111
2021-11-29;SN;486854;6148;52122;10907
2021-11-29;ST;153224;717;15227;3783
2021-11-29;SH;95770;224;4404;1788
2021-11-29;TH;207613;1467;18981;4938
2021-11-29;DE;5791060;29364;376194;100956
