2021-11-23;BW;764566;5502;51014;11507
2021-11-23;BY;1040178;8624;84737;17048
2021-11-23;BE;259446;3262;12789;3784
2021-11-23;BB;157851;2125;15189;4041
2021-11-23;HB;38092;81;1249;543
2021-11-23;HH;109423;514;3646;1869
2021-11-23;HE;394498;1778;15104;8058
2021-11-23;MV;63735;640;4735;1298
2021-11-23;NI;356714;1868;14485;6261
2021-11-23;NW;1119267;7314;44635;18724
2021-11-23;RP;218451;2021;10337;4220
2021-11-23;SL;56616;266;3585;1098
2021-11-23;SN;431062;5942;39350;10677
2021-11-23;ST;138855;2324;12903;3705
2021-11-23;SH;91975;679;4206;1775
2021-11-23;TH;190182;2386;14529;4825
2021-11-23;DE;5430911;45326;332493;99433
