2020-10-24;BW;66838;1966
2020-10-24;BY;88319;2740
2020-10-24;BE;25374;248
2020-10-24;BB;6309;180
2020-10-24;HB;4152;64
2020-10-24;HH;11043;283
2020-10-24;HE;31128;607
2020-10-24;MV;2056;21
2020-10-24;NI;29101;728
2020-10-24;NW;104617;2008
2020-10-24;RP;15781;268
2020-10-24;SL;5008;178
2020-10-24;SN;12453;273
2020-10-24;ST;3760;73
2020-10-24;SH;6520;164
2020-10-24;TH;5546;202
2020-10-24;DE;418005;10003
